file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_ES11.vcf	Brast09G000800.v0.1.stacei	0.420702191659381	0	1.81912798874824	0.945454545454545	2415.29835911862	707.701640881389	0.000174182286867823	0	0.000753169057512246	0.0013359507606582	0.138402536928285	0.138402536928285	*
temp_vcf4_SM_ES11.vcf	Brast09G002200.v0.1.stacei	0	0	0	0	2224.33333333334	691.666666666668	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G003400.v0.1.stacei	0	0	0	0	509.833333333334	153.166666666667	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G003500.v0.1.stacei	0	0	1	0	713.166666666666	246.833333333334	0	0	0.00140219677494742	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G005100.v0.1.stacei	0	0	0	0	807.499999999999	281.5	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G006300.v0.1.stacei	0.809488821431636	0.0843989769820971	3.73227748851797	4.79485190990842	1595.54701429917	543.226570606488	0.000507342506473991	0.000155366069240445	0.00233918364991415	0.00882661520874281	0.0976023757417505	0.113606511181873	0.0831758034026464
temp_vcf4_SM_ES11.vcf	Brast09G006700.v0.1.stacei	7.15786771881843	2.20921688095494	5.5898865380209	4.19359934472473	1249.20204548401	382.797954515986	0.00572995196789408	0.00577123481171237	0.00447476575805242	0.0109551247472761	0.330367665976413	0.353395638664148	0.311768839150942
temp_vcf4_SM_ES11.vcf	Brast09G013400.v0.1.stacei	0.475385260078341	0.028169014084507	3.9	4.82848662046038	911.344485175894	291.655514824105	0.000521630698172919	9.6583169707919e-05	0.00427939167179717	0.0165554442657201	0.0551851228974684	0.156297946223318	0.0277722674072605
temp_vcf4_SM_ES11.vcf	Brast09G014800.v0.1.stacei	0	0	25.3175810731964	15.3266809218342	2642.90980583965	844.339108588256	0	0	0.00957943438601496	0.0181522811935841	-2.73775549572221	*	*
temp_vcf4_SM_ES11.vcf	Brast09G015400.v0.1.stacei	0	0	0	0	560.833333333334	174.166666666667	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G016000.v0.1.stacei	0	0	1	2	636.666666666666	200.333333333334	0	0	0.00157068062827225	0.00998336106489184	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G017000.v0.1.stacei	0.39337383374028	0	5.78865876417928	1	1076.273852657	363.726147342995	0.000365496042451608	0	0.00537842552793491	0.0027493211783232	0.0548437549508931	0.095976571164063	*
temp_vcf4_SM_ES11.vcf	Brast09G017100.v0.1.stacei	0	0	0	1	778.166666666666	238.833333333334	0	0	0	0.00418702023726447	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G018000.v0.1.stacei	0	0	16.9847673277679	18.0152326722321	1774.00000000001	505.999999999998	0	0	0.00957427696041025	0.0356032266249649	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G020500.v0.1.stacei	0.59684696342305	0	2.7416149068323	0.921875	1256.25196687371	417.748033126294	0.00047510131658409	0	0.00218237660845622	0.002206772807764	0.146728692883847	0.195638257178462	*
temp_vcf4_SM_ES11.vcf	Brast09G027000.v0.1.stacei	0.764584612155636	0.296256684491979	2.84429058001641	3.60582750582751	1065.5044834308	356.578849902533	0.000717579910779695	0.000830830781390867	0.00266943088860418	0.0101122865442331	0.130527206328004	0.125549796547597	0.145459435669226
temp_vcf4_SM_ES11.vcf	Brast09G028000.v0.1.stacei	0	0	3	1	908.666666666665	276.333333333333	0	0	0.00330154071900221	0.00361881785283474	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G028900.v0.1.stacei	0.981495390092383	0.134459028928253	2.95019807583475	6.42881432014136	2096.74424374222	636.255756257785	0.000468104487717888	0.00021132858540894	0.00140703764163878	0.0101041354155335	0.109921518385707	0.161176266151206	0.0660787934749154
temp_vcf4_SM_ES11.vcf	Brast09G029000.v0.1.stacei	0	0	25.9722222222222	43.2180205234595	3764.53891216449	1087.89416423515	0	0	0.00689917751634795	0.0397263097314657	-2.73062857428746	*	*
temp_vcf4_SM_ES11.vcf	Brast09G031900.v0.1.stacei	0	0	1	3	1045.66666666666	349.333333333333	0	0	0.000956327701625759	0.00858778625954199	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G032800.v0.1.stacei	0	0	0	0	196	80	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G033000.v0.1.stacei	0	0	14	62	6854.66666666674	2280.33333333331	0	0	0.00204240420151719	0.0271890074550507	-3	*	*
temp_vcf4_SM_ES11.vcf	Brast09G033700.v0.1.stacei	0.249570446735395	0.281828511251524	0	3.6952111739275	1098.90549828179	326.094501718213	0.00022710819731598	0.000864254103539163	0	0.011331718733242	0.13143322105421	0.246997555531937	0.139367664342452
temp_vcf4_SM_ES11.vcf	Brast09G034300.v0.1.stacei	0.0686274509803921	0	5.00840336134454	4.95728291316527	1694.51307189543	516.486928104573	4.04998061794989e-05	0	0.00295565932444669	0.00959808011280696	0.00612963545489496	0.0337129950019223	*
temp_vcf4_SM_ES11.vcf	Brast09G037000.v0.1.stacei	0	0	1	6	2172.83333333334	683.166666666668	0	0	0.000460228580194829	0.00878262990973406	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G037200.v0.1.stacei	0	0	5	0	2572.83333333333	823.16666666667	0	0	0.00194338278162856	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G038100.v0.1.stacei	0	0	1	2	1657.66666666667	535.333333333332	0	0	0.000603257590991351	0.00373599003735991	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G038800.v0.1.stacei	0	0	3	1	824.833333333332	264.166666666667	0	0	0.00363709840371793	0.00378548895899053	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G039300.v0.1.stacei	0	0	4	8	778.999999999999	217.000000000001	0	0	0.00513478818998717	0.0368663594470045	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G045500.v0.1.stacei	0	0	1	1	859.666666666666	277.333333333334	0	0	0.00116324156649864	0.00360576923076923	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G048600.v0.1.stacei	0	0	1	0	523.500000000001	163.5	0	0	0.00191021967526265	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G050900.v0.1.stacei	0	0	0	1	1077.16666666667	362.833333333333	0	0	0	0.00275608635737253	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G051000.v0.1.stacei	0	0	1	0	1072.83333333333	364.166666666667	0	0	0.000932111231940345	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast09G051100.v0.1.stacei	0	0	0	0	1074	372	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G053500.v0.1.stacei	0	0	0	0	4181.99999999996	1292.99999999999	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast09G058000.v0.1.stacei	0.510204081632653	0	0.5	0	604.583333333333	220.416666666667	0.00084389372565015	0	0.000827015851137147	0	0.5	0.5	*
temp_vcf4_SM_ES11.vcf	Brast09G058500.v0.1.stacei	0	0	0	0	249	69	0	0	0	0	*	*	*
