"y","MEblue","MEpink","MEpurple","MEblack","MEbrown","MEmagenta","MEgreen","MEred","MEturquoise","MEyellow","MEgrey"
"EigengeneSignificance"," 0.91885456","-0.43947750","-0.21737540","-0.18718300"," 0.83770911"," 0.82583273"," 0.81333881","-0.06804487","-0.05408384","-0.11435672","-0.50549204","-0.90414550"
"EigengeneSignificancePvalue","2.205521e-19","2.244649e-03","1.467368e-01","2.128954e-01","3.901982e-13","1.621657e-12","6.493690e-12","6.531984e-01","7.211060e-01","4.492011e-01","3.392671e-04","7.384167e-18"
"ModuleEigengeneName","y","MEblue","MEpink","MEpurple","MEblack","MEbrown","MEmagenta","MEgreen","MEred","MEturquoise","MEyellow","MEgrey"
"WT6C","6654.18411400","  -0.14485826","  -0.07028301","  -0.01816515","   0.36583470","   0.40330354","   0.88837387","  -0.07794883","  -0.08379323","  -0.12749377","  -0.28556202","  -0.39510499"
"WT6T","6362.77352100","  -0.16797465","  -0.09371422","  -0.05497397","   0.29610744","   0.41525892","   0.22554546","  -0.08083980","  -0.03849403","  -0.14129903","  -0.36298272","  -0.46316295"
"WT7C","7378.34174900","  -0.14758399","  -0.02069929","  -0.04372689","   0.36690928","   0.43233312","   0.28657192","  -0.06730138","  -0.07789677","  -0.13690043","  -0.28957743","  -0.45315092"
"WT7T"," 4.883984e+03","-1.258044e-01","-2.807369e-02","-4.761489e-02"," 5.382328e-01"," 5.363720e-01"," 1.250518e-01","-8.097350e-02"," 2.890388e-03","-1.135554e-01","-2.386475e-01","-4.246219e-01"
"AS17C","605.221980400","  0.188904833"," -0.047490472","  0.069239514"," -0.126579771","  0.004189988"," -0.040671770"," -0.056617939"," -0.101867767"," -0.139609500"," -0.036955737","  0.100984056"
"AS17T","461.29854160","  0.16947081","  0.04359832","  0.25113216"," -0.13127619","  0.01233372"," -0.03276192"," -0.09106297"," -0.09437096"," -0.13904395"," -0.08277979","  0.13036654"
"AS19C"," 5.322359e+02"," 2.023535e-01","-7.410616e-04"," 1.377207e-02","-1.166114e-01"," 7.975091e-03","-3.894423e-02","-6.931249e-02","-9.511462e-02","-1.390092e-01"," 1.325361e-02"," 6.263348e-02"
"AS19T","735.52802790","  0.17667109","  0.37718192","  0.10176885"," -0.09420381","  0.04251738"," -0.02380675"," -0.04555328"," -0.06978923"," -0.13364454"," -0.04464932","  0.18110947"
"AS22C","916.38188910","  0.25371000","  0.02137483","  0.02893476"," -0.11218719","  0.01731978"," -0.04319744"," -0.06549457"," -0.09386621"," -0.13277676","  0.08355578","  0.11359448"
"AS22T","708.907171100","  0.115527697","  0.516838077","  0.041349719"," -0.122072066","  0.006714886"," -0.052967365"," -0.067762658"," -0.097675981"," -0.150765974"," -0.122445190","  0.037029245"
"AS25C","540.86653910","  0.21910576","  0.02891735"," -0.01801214"," -0.11577116","  0.02315381"," -0.04438265"," -0.08384506"," -0.09635959"," -0.13141251","  0.06829135","  0.11257558"
"AS25T","531.42021510","  0.18860923","  0.20122814","  0.01183012"," -0.10709220","  0.02995916"," -0.03610181"," -0.07374955"," -0.08770066"," -0.13369949","  0.01082685","  0.14767983"
"AS30C","662.09620190","  0.14861324"," -0.05284187","  0.01193547"," -0.14169774"," -0.01422932"," -0.06100773"," -0.09857815"," -0.11064222"," -0.14793752"," -0.07491416","  0.01492444"
"AS30T","671.579898900","  0.101436258","  0.291040380","  0.111824574"," -0.134257847","  0.004535476"," -0.036256487"," -0.091836983"," -0.087166316"," -0.150776177"," -0.146232837","  0.025964038"
"AS33C"," 8.482416e+02"," 1.892434e-01","-5.644670e-03"," 9.939226e-03","-1.236679e-01"," 1.945664e-03","-4.695510e-02","-8.688728e-02","-1.019848e-01","-1.415600e-01"," 8.656779e-04"," 3.329339e-02"
"AS33T"," 6.778031e+02"," 1.980475e-01"," 7.738274e-04"," 5.619524e-02","-1.208451e-01"," 7.479157e-03","-4.656397e-02","-8.106154e-02","-9.695499e-02","-1.362382e-01","-3.678386e-03"," 7.961783e-02"
"AS47C","949.970876900","  0.166040031"," -0.031811818"," -0.039163821"," -0.124407087","  0.005459027"," -0.052028119"," -0.085537978"," -0.105158861"," -0.142868083"," -0.010608579","  0.021425303"
"AS47T","892.18027890","  0.17414555","  0.09558735","  0.09668891"," -0.10848975","  0.03283784"," -0.03919081"," -0.08427751"," -0.08006403"," -0.13364624"," -0.03046068","  0.10485562"
"AS50C","720.647895100","  0.107459162","  0.047179962","  0.003535274"," -0.137158916"," -0.008924286"," -0.054281623"," -0.094242174"," -0.107329388"," -0.154144859"," -0.134461699"," -0.014931664"
"AS50T","594.70169150","  0.09758334","  0.34535811","  0.20856005"," -0.12177733","  0.01925919"," -0.03555304"," -0.08545412"," -0.07779494"," -0.14994700"," -0.15441637","  0.05164217"
"AS7C","634.56363650","  0.22481164","  0.05771112","  0.02106396"," -0.12072387","  0.01062413"," -0.04059719"," -0.08417737"," -0.09657862"," -0.13512600","  0.03242413","  0.09549367"
"AS7T","506.528679900","  0.149710939","  0.072506162","  0.071227835"," -0.124086969","  0.005831522"," -0.046022230"," -0.066602426"," -0.098011253"," -0.143677636"," -0.084702762","  0.055211731"
