"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"EigengeneSignificance"," 0.7961173"," 0.2561490"," 0.5828712"," 0.5922347"," 0.5225894","-0.3435353","-0.1010871","-0.5078786","-0.1086970","-0.2258639"
"EigengeneSignificancePvalue","6.207695e-13","6.154156e-02","3.753374e-06","2.389926e-06","5.043335e-05","1.098075e-02","4.670299e-01","8.846356e-05","4.339859e-01","1.005454e-01"
"ModuleEigengeneName","y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"114C","4277.28307300","   0.20899146","   0.02940445","   0.22608731","   0.01941629","  -0.06983321","  -0.00821780","  -0.11496785","  -0.03587751","  -0.02334640"
"114T"," 5.401359e+03","-1.127162e-03"," 1.585637e-01"," 1.461719e-01","-4.169285e-02","-7.461963e-02","-4.802688e-02","-1.283351e-01","-4.722175e-02","-1.293780e-01"
"115C","5940.38672700","   0.07258019","  -0.01436434","   0.14711795","  -0.02263263","  -0.08861882","  -0.04086951","  -0.11592093","  -0.06680421","   0.01757893"
"115T"," 1.069139e+04"," 3.232044e-02"," 1.916803e-01"," 1.298178e-01"," 4.814500e-01","-9.030506e-02","-4.073442e-02","-1.285036e-01","-2.513930e-02","-1.704140e-01"
"118C","5455.75566000","   0.01282678","  -0.04477708","   0.17894412","  -0.04586913","  -0.07065509","  -0.02740902","  -0.10866176","  -0.05715352","   0.06806873"
"118T","9478.24651500","   0.01289083","   0.02757098","   0.14810179","   0.06438719","  -0.07554905","  -0.04492559","  -0.12577934","  -0.03574670","  -0.11606797"
"119C","2972.26161900","   0.03102434","  -0.02061959","   0.16330233","   0.02516848","  -0.07623816","  -0.03753597","  -0.10266772","  -0.07549253","   0.06839114"
"119T"," 5.040610e+03"," 7.499603e-03"," 3.205175e-02"," 1.799261e-01"," 1.056643e-01","-6.762057e-02","-4.036199e-02","-1.226500e-01","-3.427225e-02","-3.956664e-02"
"120C","6755.08601800","   0.03044653","  -0.01215858","   0.15125687","   0.19043536","  -0.08860497","  -0.04584194","  -0.11786802","  -0.08776328","  -0.08233636"
"120T","9014.04077000","  -0.01109475","   0.01649885","   0.08010201","  -0.04179222","  -0.10492941","  -0.06583865","  -0.12748864","  -0.04827287","  -0.10343112"
"121C","4691.00894800","   0.90859295","   0.04599796","   0.12636654","   0.16389592","  -0.10654035","   0.03657928","  -0.11231278","  -0.03988277","  -0.09608237"
"121T"," 9.478470e+03"," 1.060008e-01"," 4.208031e-01"," 1.208233e-01"," 2.334033e-01","-9.744363e-02","-2.716477e-03","-1.183018e-01"," 1.854095e-02","-1.387482e-01"
"122C","5420.01084100","   0.04971512","  -0.02669678","   0.18878687","   0.11256389","  -0.07797869","  -0.03139221","  -0.11483719","  -0.07263179","  -0.01908737"
"122T","6915.84396800","   0.12726490","   0.71987329","   0.12086465","   0.09218511","  -0.10097403","   0.02568204","  -0.12598613","   0.05103688","  -0.12300772"
"123C"," 4.775261e+03","-3.228079e-02","-3.650371e-02"," 2.602701e-01"," 1.690171e-05","-3.305584e-02"," 1.215903e-02","-9.076266e-02","-6.222665e-02"," 6.724713e-01"
"123T","4586.35439200","  -0.01041653","   0.16657041","   0.15210909","  -0.05054495","  -0.07192048","  -0.01913559","  -0.11708406","  -0.02147214","   0.46538233"
"124C"," 4.697186e+03"," 4.692323e-02","-5.307215e-02"," 2.377710e-01","-9.448585e-03","-5.345259e-02","-1.635617e-02","-9.723393e-02","-7.657711e-02"," 7.926607e-02"
"124T"," 5.136170e+03"," 3.702643e-03"," 7.181809e-02"," 1.490711e-01","-3.910413e-02","-7.839584e-02","-4.287648e-02","-1.128257e-01","-4.900007e-02","-9.361870e-03"
"126C","2883.73504100","  -0.01207221","  -0.05191948","   0.11768473","  -0.07168290","  -0.09026153","  -0.06446978","  -0.10862437","  -0.08646015","  -0.03901342"
"126T","5060.01791300","  -0.02684308","   0.08671804","   0.09260464","  -0.05675501","  -0.09626629","  -0.06777635","  -0.12972151","  -0.03616438","  -0.19298780"
"35C","2707.60974600","   0.02229872","  -0.01203707","   0.18418518","   0.39358542","  -0.07386345","  -0.04574585","  -0.11671804","  -0.08091119","  -0.03630045"
"35T"," 4.764559e+03","-4.737867e-03"," 2.140772e-01"," 1.145579e-01"," 5.287949e-01","-8.478185e-02","-3.380627e-02","-1.200334e-01","-3.197182e-02","-1.444811e-01"
"ES11C","4249.28100000","  -0.05679409","  -0.07739949","  -0.06155727","  -0.07478827","   0.21055647","  -0.02362174","  -0.02177433","  -0.04824919","  -0.01298404"
