"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"EigengeneSignificance"," 0.8969411"," 0.3007674"," 0.3641435"," 0.7938822"," 0.4742053"," 0.2240100","-0.2678064","-0.9228927","-0.4890015","-0.1928302"
"EigengeneSignificancePvalue","4.537060e-20","2.711141e-02","6.791311e-03","8.000859e-13","2.918988e-04","1.034441e-01","5.024830e-02","3.331333e-23","1.753983e-04","1.624134e-01"
"ModuleEigengeneName","y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"114C","25.99327374"," 0.20899146"," 0.02940445"," 0.22608731"," 0.01941629","-0.06983321","-0.00821780","-0.11496785","-0.03587751","-0.02334640"
"114T","25.689931870","-0.001127162"," 0.158563701"," 0.146171941","-0.041692854","-0.074619632","-0.048026877","-0.128335089","-0.047221750","-0.129378036"
"115C","25.94541867"," 0.07258019","-0.01436434"," 0.14711795","-0.02263263","-0.08861882","-0.04086951","-0.11592093","-0.06680421"," 0.01757893"
"115T","25.83545494"," 0.03232044"," 0.19168030"," 0.12981775"," 0.48144997","-0.09030506","-0.04073442","-0.12850361","-0.02513930","-0.17041404"
"118C","23.92378916"," 0.01282678","-0.04477708"," 0.17894412","-0.04586913","-0.07065509","-0.02740902","-0.10866176","-0.05715352"," 0.06806873"
"118T","23.97736497"," 0.01289083"," 0.02757098"," 0.14810179"," 0.06438719","-0.07554905","-0.04492559","-0.12577934","-0.03574670","-0.11606797"
"119C","23.97448699"," 0.03102434","-0.02061959"," 0.16330233"," 0.02516848","-0.07623816","-0.03753597","-0.10266772","-0.07549253"," 0.06839114"
"119T","24.288673020"," 0.007499603"," 0.032051749"," 0.179926091"," 0.105664299","-0.067620570","-0.040361987","-0.122650031","-0.034272251","-0.039566637"
"120C","25.26381458"," 0.03044653","-0.01215858"," 0.15125687"," 0.19043536","-0.08860497","-0.04584194","-0.11786802","-0.08776328","-0.08233636"
"120T","24.90612539","-0.01109475"," 0.01649885"," 0.08010201","-0.04179222","-0.10492941","-0.06583865","-0.12748864","-0.04827287","-0.10343112"
"121C","24.09133233"," 0.90859295"," 0.04599796"," 0.12636654"," 0.16389592","-0.10654035"," 0.03657928","-0.11231278","-0.03988277","-0.09608237"
"121T","24.146895670"," 0.106000832"," 0.420803147"," 0.120823347"," 0.233403270","-0.097443626","-0.002716477","-0.118301788"," 0.018540951","-0.138748187"
"122C","25.20111322"," 0.04971512","-0.02669678"," 0.18878687"," 0.11256389","-0.07797869","-0.03139221","-0.11483719","-0.07263179","-0.01908737"
"122T","25.08052335"," 0.12726490"," 0.71987329"," 0.12086465"," 0.09218511","-0.10097403"," 0.02568204","-0.12598613"," 0.05103688","-0.12300772"
"123C"," 2.497923e+01","-3.228079e-02","-3.650371e-02"," 2.602701e-01"," 1.690171e-05","-3.305584e-02"," 1.215903e-02","-9.076266e-02","-6.222665e-02"," 6.724713e-01"
"123T","24.63854218","-0.01041653"," 0.16657041"," 0.15210909","-0.05054495","-0.07192048","-0.01913559","-0.11708406","-0.02147214"," 0.46538233"
"124C","24.158797650"," 0.046923232","-0.053072154"," 0.237771023","-0.009448585","-0.053452594","-0.016356165","-0.097233932","-0.076577115"," 0.079266072"
"124T","23.788021410"," 0.003702643"," 0.071818089"," 0.149071084","-0.039104125","-0.078395841","-0.042876478","-0.112825704","-0.049000065","-0.009361870"
"126C","25.39428382","-0.01207221","-0.05191948"," 0.11768473","-0.07168290","-0.09026153","-0.06446978","-0.10862437","-0.08646015","-0.03901342"
"126T","24.17843946","-0.02684308"," 0.08671804"," 0.09260464","-0.05675501","-0.09626629","-0.06777635","-0.12972151","-0.03616438","-0.19298780"
"35C","24.90209116"," 0.02229872","-0.01203707"," 0.18418518"," 0.39358542","-0.07386345","-0.04574585","-0.11671804","-0.08091119","-0.03630045"
"35T","24.818179320","-0.004737867"," 0.214077156"," 0.114557885"," 0.528794902","-0.084781852","-0.033806274","-0.120033396","-0.031971823","-0.144481102"
"ES11C","23.96649000","-0.05679409","-0.07739949","-0.06155727","-0.07478827"," 0.21055647","-0.02362174","-0.02177433","-0.04824919","-0.01298404"
"ES11T","23.687771480","-0.048059627","-0.063384259","-0.073324662","-0.006985007"," 0.183328003","-0.018525608","-0.027972771","-0.037150414","-0.063558855"
"ES13C","22.26356000","-0.04909806","-0.07838295","-0.08418096","-0.05898926"," 0.14673437","-0.04644136","-0.03426142","-0.06093299","-0.04313322"
"ES13T","21.95491123","-0.05065817","-0.06470090","-0.08949577","-0.07368599"," 0.14581175","-0.04537606","-0.03868706","-0.04739151","-0.08117686"
"ES14C","23.5688300000","-0.0299812975","-0.0604461531","-0.0434386401","-0.0189664703"," 0.2466498788","-0.0046847292","-0.0123644489","-0.0398178367"," 0.0007044583"
"ES14T","23.61293902","-0.04805839","-0.03582620","-0.08748360","-0.07446421"," 0.15616738","-0.03101112","-0.04198387","-0.05567398","-0.09566437"
"ES19C","22.48533000","-0.04076507","-0.06796931","-0.04637496"," 0.03483272"," 0.23819721","-0.01393831","-0.01614890","-0.05959417"," 0.06058074"
