file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_SM_AS17.vcf	19337815	392043	18945772	0.000178958059140949	0.000247944137178639	0.000177530537000804	148946.31212349	47445.2864223036	9.50531031895859e-05	0.000206345824325585	0.00419907817720901	0.0132567191669151	-0.0063213049716314	0.233638350404913	0.275112975146293	0.000169733544510877	96845	0.0406663770202386	2315	0.0337261527583174	94530
temp_vcf4_SM_AS19.vcf	19337815	392043	18945772	0.000206113845867786	0.000211388077434097	0.00020600470671178	150425.61267464	47813.7527695318	0.000178842991162635	0.000268167946236515	0.00480465270344454	0.0163995436348507	-0.0102050204226085	0.342295376536953	0.327518265445651	0.000197739270085976	121964	0.0328618158637743	2404	0.0313218937589588	119560
temp_vcf4_SM_AS22.vcf	19337815	392043	18945772	0.000237025889842508	0.000216527196553956	0.000237450067290274	150437.437380525	47808.4528671887	0.000150311142273815	0.000215367245138997	0.00485619721904448	0.0166390778820579	-0.0101240512779127	0.319844652642378	0.343141884953038	0.000225238053306124	123425	0.0319681051220257	2483	0.0353577334654296	120942
temp_vcf4_SM_AS25.vcf	19337815	392043	18945772	0.000215224450235091	0.000226027800123853	0.000215000897576459	150477.508270623	47843.2011675002	0.000178262417882741	0.000235843411600212	0.00488083208291799	0.0167149240525637	-0.0103624979712769	0.355158800756472	0.343157991949101	0.000204417352957101	122705	0.0348004438856724	2412	0.0321635197694121	120293
temp_vcf4_SM_AS30.vcf	19337815	392043	18945772	0.000217869868032697	0.000191786270950934	0.00021840961334636	150471.218420237	47835.5308105322	0.000108064516047316	0.000141448055339942	0.00465315037383294	0.0161760323967537	-0.0104152747715666	0.325150401937988	0.318900151690608	0.000205109566252476	121769	0.0293629949394703	2379	0.0326368731213637	119390
temp_vcf4_SM_AS40.vcf	19337815	392043	18945772	6.25678150943384e-06	9.95518469367001e-06	6.18025081543217e-06	148090.200680272	47075.2278911565	3.8586521512135e-06	7.08086499557771e-06	0.000128300184027849	0.0001633656709694	0.000189618007940989	0.244897959183674	0.277777777777778	5.69271934743469e-06	4048	0.0205786073146129	155	0.027458276253236	3893
temp_vcf4_SM_AS47.vcf	19337815	392043	18945772	0.000263006621784429	0.000117269519629295	0.000266022345331625	150135.059278809	47750.4752065749	0.000138137314227662	5.48421648918925e-05	0.00545517722471792	0.0155116137924658	-0.0105599212344394	0.345838363241308	0.415910751702002	0.000247296541878646	109635	0.0196673446636827	2220	0.0441140741221956	107415
temp_vcf4_SM_AS50.vcf	19337815	392043	18945772	0.000264117794390558	9.12356533271478e-05	0.000267695227562926	149927.481425737	47682.3298783176	7.14843796193034e-05	6.46520989007091e-05	0.00565554202090883	0.0150498981199338	-0.00929467386425051	0.268506834267386	0.313065509851814	0.000250847333565702	112602	0.0145122216913914	2336	0.0436847149607834	110266
temp_vcf4_SM_AS7.vcf	19337815	392043	18945772	0.000223405017238725	0.000330791665254954	0.00022118287587398	148907.562802396	47316.9940726042	0.000133409612416237	0.000218286466006779	0.00349801978015217	0.0109508967889073	-0.00515880570414892	0.318725501067976	0.420850268108706	0.000213686401080694	101154	0.0580386330456479	2145	0.0404784941190331	99009
temp_vcf4_SM_AS8.vcf	19337815	392043	18945772	0.000228135782017831	0.000354297907058446	0.000225525121550298	148910.240285116	47316.9659648845	0.000187620073411941	0.000307106089423089	0.00359860299464112	0.0110764060092225	-0.00515832109710485	0.388111726306892	0.423253408544293	0.000215479731609239	100409	0.0612983293957802	2170	0.0410619999320053	98239
